MatterEnforcementFY,MatterEnforcementDate,MatterName,MatterNumber,MatterEnforcementType,Matterhyperlink,MatterType
2020,7/6/2020 0:00,Alimentation Couche-Tard Inc. and CrossAmerica Partners LP,1810227,Civil Penalty (Order Violation),#https://www.ftc.gov/news-events/press-releases/2020/07/alimentation-couche-tard-crossamerica-partners-agree-to-pay-civil-penalty#,Merger
2019,8/28/2019 0:00,Third Point Offshore Fund/DowDuPont,1810087,Civil Penalty (7a),,Merger
2019,6/10/2019 0:00,Canon/MS Holding,1610129,Civil Penalty (7a),#https://www.ftc.gov/news-events/press-releases/2019/06/canon-inc-toshiba-corporation-agree-pay-5-million-violating#,Merger
2019,12/6/2018 0:00,James Dolan & Kristin Dolan/Madison Square Garden,1810077,Civil Penalty (7a),#https://www.ftc.gov/news-events/press-releases/2018/12/ftc-charges-executive-whose-company-owns-new-york-knicks-new-york#,Merger
2018,3/14/2018 0:00,"CoreLogic, Inc.",1710029,Civil Penalty (Order Violation),,Merger
2017,1/17/2017 0:00,Mitchell Rales/Colfax,1610135,Civil Penalty (7a),#https://www.ftc.gov/news-events/press-releases/2017/01/two-separate-actions-ftc-charges-investors-violations-us#,Merger
2017,1/17/2017 0:00,Ahmet Okumus/Web.com,1610189,Civil Penalty (7a),#https://www.ftc.gov/news-events/press-releases/2017/01/two-separate-actions-ftc-charges-investors-violations-us#,Merger
2017,10/28/2016 0:00,Fayez Sarofim/Kinder Morgan,1510064,Civil Penalty (7a),#https://www.ftc.gov/news-events/press-releases/2016/10/investment-firm-founder-fayez-sarofim-pay-720000-settle-ftc#,Merger
2016,8/10/2016 0:00,Caledonia/Bristow,1510123,Civil Penalty (7a),#https://www.ftc.gov/news-events/press-releases/2016/08/investment-trust-pay-480000-settle-ftc-charges-it-violated-us#,Merger
2016,4/25/2016 0:00,FTC v McWane Inc,1010080,Civil Penalty (Order Violation),#https://www.ftc.gov/news-events/press-releases/2016/04/star-pipe-products-ltd-agrees-120000-civil-penalty-new#,Nonmerger
2016,10/6/2015 0:00,Mr. Len Blavatnik/TangoMe,1510060,Civil Penalty (7a),#https://www.ftc.gov/enforcement/cases-proceedings/151-0060/len-blavatnik-care-access-industries#,Merger
2015,9/22/2015 0:00,Leucadia/KCG,1510015,Civil Penalty (7a),#https://www.ftc.gov/enforcement/cases-proceedings/151-0015/leucadia-national-corporation-kcg-holdings-inc#,Merger
2015,8/24/2015 0:00,Third Point/Yahoo,1210019,Civil Penalty (7a),#https://www.ftc.gov/enforcement/cases-proceedings/121-0019/third-point-llc#,Merger
2014,8/20/2014 0:00,Berkshire Hathaway/USG,1410095,Civil Penalty (7a),#http://www.ftc.gov/enforcement/cases-proceedings/141-0095/berkshire-hathaway-inc#,Merger
2013,7/2/2013 0:00,Barry Diller / Coca Cola,1210179,Civil Penalty (7a),#http://www.ftc.gov/opa/2013/07/diller.shtm#,Merger
2013,6/20/2013 0:00,Ronald O. Perelman/Scientific Games Corporation,1210203,Civil Penalty (7a),#http://www.ftc.gov/os/caselist/1210203/index.shtm#,Merger
2012,9/25/2012 0:00,"Biglari Holdings, Inc. / Cracker Barrel Old Country Store, Inc.",1110224,Civil Penalty (7a),#http://www.ftc.gov/os/caselist/1110224/index.shtm#,Merger
2012,12/16/2011 0:00,Brian L. Roberts / Comcast,1010034,Civil Penalty (7a),#http://www.ftc.gov/os/caselist/1010034/index.shtm#,Merger
2011,3/29/2011 0:00,"Toys R Us, Inc.",910082,Civil Penalty (Order Violation),#http://www.ftc.gov/os/caselist/9410040/index.shtm#,Nonmerger
2009,7/6/2009 0:00,"Aspen Technology, Inc.",610064,Civil Penalty (Order Violation),#http://www.ftc.gov/os/adjpro/d9310/index.shtm#,Merger
2009,6/23/2009 0:00,John C. Malone / Discovery Holding,810219,Civil Penalty (7a),#http://www.ftc.gov/os/caselist/0810219/index.shtm#,Merger
2009,3/31/2009 0:00,Bristol-Myers Squibb,610235,Civil Penalty (Order Violation),#http://www.ftc.gov/os/caselist/0610235/index.shtm#,Nonmerger
