idx,key,human_score_0,human_score_1,human_score_2,llm_score_0,llm_score_1,llm_score_2
0,results_full_0_BaselineLLMSystemLlama3_3InstructFewShot_astronomy-easy-4,0,0,0,0,0,0
1,results_full_0_BaselineLLMSystemGPTo3FewShot_astronomy-easy-4,1,1,1,0,0,0
2,results_full_0_BaselineLLMSystemDeepseekR1FewShot_legal-hard-2,0,0,0,0,0,0
3,results_full_0_BaselineLLMSystemDeepseekR1FewShot_legal-easy-25,0,0,0,0,0,0
4,results_full_0_BaselineLLMSystemGPT4oOneShot_legal-hard-23,0,0,0,0,0,0
5,results_full_0_BaselineLLMSystemGPT4oFewShot_legal-hard-2,0,0,0,0,0,0
6,results_full_0_BaselineLLMSystemGPTo3OneShot_legal-hard-2,0,0,0,0,0,0
7,results_full_0_BaselineLLMSystemGPTo3OneShot_legal-easy-25,0,0,0,0,0,0
8,results_full_0_BaselineLLMSystemGPTo3FewShot_legal-hard-2,0,0,0,0,0,0
9,results_full_0_BaselineLLMSystemGPTo3FewShot_legal-hard-23,0,0,0,0,0,0
10,results_full_0_BaselineLLMSystemGPTo3FewShot_legal-easy-25,0,0,0,0,0,0
11,results_full_0_BaselineLLMSystemGPTo3FewShot_environment-hard-18,1,1,1,1,1,1
12,results_full_0_BaselineLLMSystemLlama3_3InstructOneShot_wildfire-hard-12,0,0,0,0,0,0
13,results_full_0_BaselineLLMSystemLlama3_3InstructFewShot_wildfire-hard-7,0,0,0,0,0,0
14,results_full_0_BaselineLLMSystemLlama3_3InstructFewShot_wildfire-hard-12,0,0,0,0,0,0
15,results_full_0_BaselineLLMSystemLlama3_3InstructFewShot_wildfire-easy-13,1,1,1,1,1,1
16,results_full_0_BaselineLLMSystemLlama3_3InstructFewShot_wildfire-hard-18,0,0,0,0,0,0
17,results_full_0_BaselineLLMSystemGPT4oOneShot_wildfire-hard-12,1,1,1,1,1,1
18,results_full_0_BaselineLLMSystemGPT4oOneShot_wildfire-easy-13,1,1,1,1,1,1
19,results_full_0_BaselineLLMSystemGPT4oOneShot_wildfire-hard-18,0,0,1,0,0,0
20,results_full_0_BaselineLLMSystemGPT4oFewShot_wildfire-hard-12,0,0,0,0,0,0
21,results_full_0_BaselineLLMSystemGPT4oFewShot_wildfire-hard-18,0,0,0,0,0,0
22,results_full_0_BaselineLLMSystemGPTo3Naive_wildfire-hard-12,0,0,0,0,0,0
23,results_full_0_BaselineLLMSystemGPTo3Naive_wildfire-easy-13,1,1,1,1,1,1
24,results_full_0_BaselineLLMSystemGPTo3OneShot_wildfire-hard-7,1,1,1,1,1,1
25,results_full_0_BaselineLLMSystemGPTo3OneShot_wildfire-hard-12,1,1,1,1,1,1
26,results_full_0_BaselineLLMSystemGPTo3OneShot_wildfire-easy-13,1,1,1,1,1,1
27,results_full_0_BaselineLLMSystemGPTo3FewShot_wildfire-hard-7,1,1,1,1,1,1
28,results_full_0_BaselineLLMSystemGPTo3FewShot_wildfire-hard-12,1,1,1,1,1,1
29,results_full_0_BaselineLLMSystemGPTo3FewShot_wildfire-easy-13,1,1,1,1,1,1
30,results_full_0_BaselineLLMSystemGPTo3FewShot_wildfire-hard-18,1,0,1,0,0,0
31,results_full_1_BaselineLLMSystemGPT4oNaive_astronomy-easy-4,0,0,0,0,0,0
32,results_full_1_BaselineLLMSystemGPT4oOneShot_astronomy-easy-4,0,0,0,0,0,0
33,results_full_1_BaselineLLMSystemGPT4oFewShot_astronomy-easy-4,0,0,0,0,0,0
34,results_full_1_BaselineLLMSystemGPTo3FewShot_astronomy-easy-4,0,0,0,0,0,0
35,results_full_1_BaselineLLMSystemLlama3_3InstructFewShot_legal-hard-2,0,0,0,0,0,0
